shortname RA_850 Dec_850 ID_850 RA_counterpart Dec_counterpart ID_counterpart RA_infrared Dec_infrared position_offset F24_uJy E24_uJy f100 e100 f160 e160 f250 e250 f350 e350 f500 e500  f850 e850 z_source         mu e_mu
LOCK850.04               10:52:04.17 +57:26:58.85 S 10:52:03.69 +57:27:07.06 M    10:52:03.70 +57:27:07.40 0.4  1047.0   17.0     6.2   1.0   14.4   3.1   40.0   1.6   50.7   4.3   29.6   5.6  10.6   1.7 1.480      1.   0.
LOCK850.12               10:52:27.61 +57:25:13.08 S 10:52:27.58 +57:25:12.46 R    10:52:27.58 +57:25:12.52 0.1   229.9   10.5     3.6   1.0   10.1   2.7   22.7   3.9   28.2   5.5    -99   -99   6.1   1.7 2.470    1.   0.
LOCK850.14               10:52:30.11 +57:22:15.55 S 10:52:30.72 +57:22:09.56 R_M  10:52:30.74 +57:22:09.62 0.2   194.1   10.8    -99    -99   10.4   1.8   19.4   3.8   24.9   5.7   30.6   8.3   7.2   1.8 2.611    1.   0.
LOCK850.15               10:53:19.20 +57:21:10.64 S 10:53:19.27 +57:21:08.45 R    10:53:19.28 +57:21:08.67 0.2   380.8   10.5     5.9   1.1   11.4   3.1   25.8   3.8   28.3   6.7    -99   -99  13.2   4.3 2.760      1.   0.
LOCK850.16               10:51:51.45 +57:26:37.00 S 10:51:51.69 +57:26:36.09 R    10:51:51.68 +57:26:36.08 0.1   336.6   11.3    15.1   1.3   30.0   1.7   40.7   3.8   34.9   5.4    -99   -99   5.8   1.8 1.620    1.   0.
LOCK850.17               10:51:58.25 +57:18:00.81 S 10:51:58.02 +57:18:00.27 R    10:51:58.03 +57:18:00.29 0.1   256.3   12.9     9.1   1.0   28.4   2.9   35.7   3.9   30.5   5.8    -99   -99   4.7   1.3 2.694    1.   0.
LOCK850.33               10:51:55.97 +57:23:11.76 S 10:51:55.47 +57:23:12.77 R    10:51:55.46 +57:23:12.89 0.1   112.9   10.1    -99    -99    -99   -99   18.6   3.8    -99   -99    -99   -99   3.8   1.0 2.686    1.   0.
SMMJ105238+571651        10:52:38.19 +57:16:51.10 S  nora       nodec        noid 10:52:38.18 +57:16:51.11 0.1   462.1   10.6    12.5   1.3   15.0   2.9   19.7   3.8    -99   -99    -99   -99   5.3   1.6 1.852    1.   0.
COSLA_121R1I             09:59:38.82 +02:08:41.28 L 09:59:38.94 +02:08:49.49 R    09:59:38.96 +02:08:48.98 0.6   325.0   16.0    -99    -99    -99   -99   18.0   2.7   17.5   3.3    -99   -99  11.8   3.8 1.850     1.   0.
COSLA_127R1I             10:01:24.58 +01:56:06.93 L 10:01:23.86 +01:56:13.39 R    10:01:23.88 +01:56:13.49 0.4     -99   -99     11.2   1.4   33.1   4.4   28.8   2.7   33.4   4.1    -99   -99  15.8   5.1 0.907     1.   0.
