fnu e_fnu targets
10.414816276 0.441088274632 ADFS01
10.3915574015 0.420959277265 ADFS02
13.391657932 0.493017985343 ADFS03
14.9351564879 0.327753755924 ADFS04
15.2920911291 0.369854150699 ADFS05
17.9449744343 0.497748650808 ADFS06
32.3627789846 0.638171544414 ADFS07
20.5905832187 0.477955506417 ADFS_M0
33.1574785328 0.454563710577 CDFS_M0
20.7883507138 1.18168502244 CDFS_M1
12.8212312399 0.394707392224 COS01
10.3661316668 0.51007127261 COS02
14.1291025055 0.247481557439 ECDFS02
17.2032891425 0.440804375536 ElaisS1
25.0874122893 0.506760541672 XMM01
11.5730515781 0.562963889928 XMM02
14.7257679114 0.34773881415 XMM03
7.24682840659 0.4434705571 XMM04
16.3355390595 0.369493939294 XMM05
62.0640041712 0.572784721961 XMM06
8.76508497621 0.241211467374 XMM101
14.2131828587 0.613554950805 XMM102
29.1571062932 0.58145451703 XMM108
23.1282265786 0.408391223753 XMM109
10.1271529086 0.428070392698 XMM110
17.6081886634 0.489346264655 XMM115
14.4584699085 0.367457386608 XMM119
2.75334729077 0.144009097674 XMM124
18.5788471908 0.406328502599 XMM16
