 ALMAX  ALMAY S850  SourceS500 z  TargetID  HerschelX HerschelY S500 TargetFlag 
-2.1345074  1.2783756   8.60  36.90 0.634968 00101  -2.1355556  1.2777778  55.39 0
-2.1351430  1.2777758   3.43  11.96 1.936511 00101  -2.1355556  1.2777778  55.39 0
 1.9035693 -0.5353682  14.47  52.37 1.392083 00037   1.9033333 -0.5355556  55.67 1
-2.3582039  0.6620840   4.04  10.63 3.060253 00080  -2.3588889  0.6633333  55.90 1
-2.3583333  0.6644943  11.29  43.58 1.213456 00080  -2.3588889  0.6633333  55.90 0
-1.8604367  1.4016068  13.75  57.28 0.808869 00104  -1.8611111  1.4011111  56.26 1
 1.1116488  1.8015962   9.40  57.15 0.026944 00118   1.1111111  1.8011111  56.40 1
 2.2719166  0.0765908   1.00   3.50 1.872849 00063   2.2722222  0.0744444  56.57 1
 2.2719777  0.0737762  15.01  55.73 1.318618 00063   2.2722222  0.0744444  56.57 0
 1.8013059  0.8746971  13.57  64.03 0.540658 00089   1.8011111  0.8744444  56.75 1
-2.1828098  0.0313802  13.89  60.67 0.427409 00062  -2.1833333  0.0311111  57.20 1
 0.2764588 -1.1162471   7.56  28.17 1.157559 00020   0.2744444 -1.1166667  57.34 1
 0.1558184  2.4853928  12.57  42.96 1.431857 00129   0.1544444  2.4855556  57.40 1
 0.1524633  2.4865038   5.30  17.97 1.630971 00129   0.1544444  2.4855556  57.40 0
-1.4302479 -0.2396985  12.23  48.72 0.920891 00052  -1.4300000 -0.2400000  58.17 1
-1.4295886 -0.2383713   1.96   5.29 3.316839 00052  -1.4300000 -0.2400000  58.17 0
-1.4324141 -0.2403991   2.66   5.82 3.283377 00052  -1.4300000 -0.2400000  58.17 0
 1.1900632  1.4183782   1.09   1.43 7.015482 00105   1.1911111  1.4166667  58.29 1
 1.1906945  1.4163152  10.24  38.70 1.319011 00105   1.1911111  1.4166667  58.29 0
-1.8989123 -0.1543690  13.83  57.23 1.053450 00055  -1.9000000 -0.1544444  58.54 1
-0.6391957  0.6720421  10.20  61.50 0.131299 00081  -0.6388889  0.6722222  58.57 1
 0.3500856 -0.0614148   1.15   2.96 2.161654 00059   0.3500000 -0.0611111  58.67 1
 0.3503013 -0.0606959  14.73  59.66 1.006963 00059   0.3500000 -0.0611111  58.67 0
-0.0462987 -0.7618352  13.06  60.62 0.289286 00029  -0.0466667 -0.7622222  60.78 1
 0.4819729  0.2854506  10.78  64.60 0.059460 00069   0.4811111  0.2855556  61.01 1
 0.4803385  0.2831999   2.45   4.64 3.168189 00069   0.4811111  0.2855556  61.01 0
-1.8527145  0.7392828  13.54  63.82 0.361360 00083  -1.8533333  0.7388889  61.33 1
-1.8539720  0.7407838   1.38   2.63 3.408670 00083  -1.8533333  0.7388889  61.33 0
 0.0987833  0.8435168  12.29  53.58 0.902774 00088   0.0988889  0.8433333  61.42 1
 0.0976974  0.8427362   3.19   6.42 3.312172 00088   0.0988889  0.8433333  61.42 0
 0.0999098  0.8429293   1.12   4.14 1.302243 00088   0.0988889  0.8433333  61.42 0
-1.3450148 -0.9356982  13.40  61.93 0.529409 00024  -1.3455556 -0.9355556  61.77 1
-1.2655334 -1.1105933  14.61  64.44 0.448523 00021  -1.2644444 -1.1100000  61.92 1
