GalaxyX   GalaxyY   GalaxyS850   GalaxyS500  GalaxyS350   GalaxyS250     z   SurveyID  SourceX  SourceY  SourceS500  SourceS350  SourceS250  SourceFlag 
-2.1345062  1.2783744   8.60  36.90   82.21  141.22 0.634968 Survey000034 -2.1344444  1.2777778  53.97  106.92  165.86 1
-2.1351426  1.2777762   3.43  11.96   20.91   27.46 1.936511 Survey000034 -2.1344444  1.2777778  53.97  106.92  165.86 0
 0.2564256  0.9986352   9.98  57.09  156.91  337.93 0.106274 Survey000035  0.2566667  0.9988889  54.21  150.73  323.73 1
 0.8722376  0.2591258   9.01  51.09  139.00  294.94 0.148531 Survey000036  0.8722222  0.2588889  54.80  142.32  297.97 1
 0.6004934 -1.6148684  14.65  52.11   93.43  117.74 1.274093 Survey000037  0.6000000 -1.6155556  54.90   99.78  123.43 1
 0.5984626 -1.6140294   1.79   5.79    9.40   10.64 1.623216 Survey000037  0.6000000 -1.6155556  54.90   99.78  123.43 0
 0.2539860  2.3072293  11.86  65.68  172.14  339.55 0.031114 Survey000038  0.2533333  2.3066667  54.96  161.40  323.95 1
-2.3582022  0.6620865   4.04  10.63   14.50   13.28 3.060253 Survey000039 -2.3588889  0.6644444  55.22   95.79  127.33 1
-2.3583319  0.6644958  11.29  43.58   85.78  123.14 1.213456 Survey000039 -2.3588889  0.6644444  55.22   95.79  127.33 0
 2.2719774  0.0737776  15.01  55.73  104.86  141.20 1.318618 Survey000040  2.2722222  0.0733333  55.26  106.46  139.83 1
 1.1906953  1.4163197  10.24  38.70   74.28  102.82 1.319011 Survey000041  1.1900000  1.4155556  55.62   86.05  106.70 1
 1.9035712 -0.5353687  14.47  52.37   95.73  123.64 1.392083 Survey000042  1.9033333 -0.5355556  55.67   96.52  124.21 1
-1.8604362  1.4016131  13.75  57.28  123.16  200.80 0.808869 Survey000043 -1.8611111  1.4011111  56.26  124.29  203.67 1
 1.1116503  1.8016013   9.40  57.15  167.17  388.29 0.026944 Survey000044  1.1111111  1.8011111  56.40  167.95  388.83 1
 0.1558203  2.4853961  12.57  42.96   73.61   87.16 1.431857 Survey000045  0.1555556  2.4855556  56.47   89.24   96.83 1
 1.8013074  0.8746995  13.57  64.03  158.87  318.17 0.540658 Survey000046  1.8011111  0.8744444  56.75  154.01  318.10 1
-2.1828086  0.0313832  13.89  60.67  138.31  246.78 0.427409 Survey000047 -2.1833333  0.0311111  57.20  135.55  245.43 1
