iauname ra dec shortname f250 f350 f500
HATLASJ084716.1+002404     131.817334000        0.401226000  HATLASJ084716.1+002404    65.975000000          92.097000000          89.001000000        
HATLASJ090526.5+023339     136.360693000        2.561083000  HATLASJ090526.5+023339    72.890000000          80.204000000          83.688000000        
HATLASJ090739.2-003949     136.913465000       -0.663637000  HATLASJ090739.2-003949    73.369000000         100.622000000          84.500000000        
HATLASJ091857.2-000046     139.738585000       -0.012982000  HATLASJ091857.2-000046    72.840000000         107.736000000          95.564000000        
HATLASJ091454.1-010357     138.725568000       -1.065899000  HATLASJ091454.1-010357    71.406000000          97.423000000         103.212000000        
HATLASJ085125.9+014638     132.857965000        1.777326000  HATLASJ085125.9+014638    71.368000000         108.305000000         102.398000000        
HATLASJ085032.8+012914     132.636701000        1.487251000  HATLASJ085032.8+012914    68.659000000         103.443000000          89.387000000        
HATLASJ090849.9+003204     137.208125000        0.534597000  HATLASJ090849.9+003204    69.719000000          84.742000000          85.906000000        
HATLASJ092141.0+005355     140.420888000        0.898773000  HATLASJ092141.0+005355    64.817000000         105.263000000         100.723000000        
HATLASJ085404.8-004757     133.520156000       -0.799303000  HATLASJ085404.8-004757    63.960000000          78.976000000          82.458000000        
HATLASJ122528.2-000823      186.367840000       -0.139741000 HATLASJ122528.2-000823     439.990000000           294.172000000           135.948000000       
HATLASJ114638.0-001132      176.658380000       -0.192236000 HATLASJ114638.0-001132     289.948000000           356.396000000           295.432000000       
HATLASJ113526.3-014606      173.859840000       -1.768356000 HATLASJ113526.3-014606     289.694000000           295.249000000           216.389000000       
HATLASJ121334.9-020322      183.395460000       -2.056348000 HATLASJ121334.9-020322     209.466000000           204.606000000           132.426000000       
HATLASJ120127.9-021648      180.366290000       -2.280048000 HATLASJ120127.9-021648     211.089000000           172.986000000           105.604000000       
HATLASJ115101.7-020024      177.757500000       -2.006699000 HATLASJ115101.7-020024     197.324000000           178.101000000           110.102000000       
HATLASJ114227.1-015312      175.613320000       -1.886771000 HATLASJ114227.1-015312     175.041000000           148.344000000            86.032000000       
HATLASJ121301.6-004921      183.256680000       -0.822590000 HATLASJ121301.6-004921     154.449000000           174.264000000           128.973000000       
HATLASJ113324.4-012741      173.351710000       -1.461476000 HATLASJ113324.4-012741     199.576801084           186.675000000           149.839000000       
HATLASJ115112.3-012638      177.801250000       -1.444101000 HATLASJ115112.3-012638     153.419000000           164.787000000           114.602000000       
HATLASJ120709.2-014704      181.788520000       -1.784532000 HATLASJ120709.2-014704     152.234000000           170.734000000           128.320000000       
HATLASJ122158.5+003327      185.493970000        0.557501000 HATLASJ122158.5+003327     149.089000000           130.491000000            95.733000000       
HATLASJ115820.1-013753      179.584160000       -1.631431000 HATLASJ115820.1-013753     130.544000000           142.908000000           106.375000000       
HATLASJ115120.3-003321      177.834930000       -0.556100000 HATLASJ115120.3-003321     134.257000000           124.935000000            81.720000000       
HATLASJ121450.2-011500      183.709350000       -1.250128000 HATLASJ121450.2-011500     113.939000000           112.799000000            82.003000000       
HATLASJ121144.8+010639      182.936810000        1.110946000 HATLASJ121144.8+010639     114.956000000           134.072000000           106.709000000       
HATLASJ114752.7-005832      176.969760000       -0.975615000 HATLASJ114752.7-005832     111.980000000           135.308000000           117.989000000       
HATLASJ121542.6-005220      183.927780000       -0.872344000 HATLASJ121542.6-005220     124.701000000           145.117000000           109.163000000       
HATLASJ120319.1-011253      180.829870000       -1.214899000 HATLASJ120319.1-011253     119.748000000           145.936000000           120.550000000       
HATLASJ113833.3+004910      174.638760000        0.819698000 HATLASJ113833.3+004910     116.455000000           131.654000000           114.928000000       
HATLASJ120656.4+012640      181.735300000        1.444685000 HATLASJ120656.4+012640     117.194000000           127.014000000            92.094000000       
HATLASJ113140.6-002156      172.919380000       -0.365611000 HATLASJ113140.6-002156     115.737000000           145.706000000           116.287000000       
HATLASJ113803.5-011736      174.514680000       -1.293487000 HATLASJ113803.5-011736     109.703000000           133.009000000           114.102000000       
HATLASJ114247.5+012447      175.697950000        1.413270000 HATLASJ114247.5+012447     108.962000000           110.193000000            80.838000000       
HATLASJ121416.3-013703      183.568140000       -1.617763000 HATLASJ121416.3-013703      93.491000000           103.340000000            83.149000000       
HATLASJ120600.9+003500      181.503770000        0.583407000 HATLASJ120600.9+003500     100.504000000           128.694000000           115.507000000       
HATLASJ115758.4-010033      179.493740000       -1.009295000 HATLASJ115758.4-010033      94.598000000           111.613000000            80.146000000       
HATLASJ122034.3-003804      185.143110000       -0.634708000 HATLASJ122034.3-003804      94.079000000           111.333000000            89.536000000       
HATLASJ114113.8+005033      175.307710000        0.842642000 HATLASJ114113.8+005033      91.583000000            95.036000000            82.312000000       
HATLASJ115635.1+002350      179.146580000        0.397266000 HATLASJ115635.1+002350      80.599000000            96.107000000            81.383000000       
HATLASJ115714.7-002842      179.311560000       -0.478425000 HATLASJ115714.7-002842      84.957000000           106.705000000            80.096000000       
HATLASJ113841.3-020236      174.672180000       -2.043474000 HATLASJ113841.3-020236      84.375000000           108.497000000            92.038000000       
HATLASJ122247.2+001907      185.696800000        0.318618000 HATLASJ122247.2+001907      78.407000000           109.306000000            83.133000000       
HATLASJ115540.3+013703      178.917940000        1.617600000 HATLASJ115540.3+013703      83.729000000            86.538000000            80.261000000       
HATLASJ113243.1-005107      173.179940000       -0.852203000 HATLASJ113243.1-005107      75.922000000           120.367000000           107.679000000       
HATLASJ113833.7-014656      174.640690000       -1.782336000 HATLASJ113833.7-014656      82.258000000           109.393000000           114.482000000       
HATLASJ122117.0-014923      185.321010000       -1.823146000 HATLASJ122117.0-014923      78.147000000           100.910000000            81.552000000       
HATLASJ120127.6-014044      180.365100000       -1.679002000 HATLASJ120127.6-014044      67.951000000           120.700000000           117.076000000       
HATLASJ121715.8-022517      184.316110000       -2.421436000 HATLASJ121715.8-022517      78.145000000           102.062000000            84.175000000       
HATLASJ114439.2+002850      176.163590000        0.480680000 HATLASJ114439.2+002850      68.346000000            93.149000000            87.942000000       
HATLASJ120904.3-012719      182.268200000       -1.455334000 HATLASJ120904.3-012719      76.397000000           100.045000000            82.991000000       
HATLASJ121833.9+001946      184.641460000        0.329652000 HATLASJ121833.9+001946      76.407000000            88.680000000            84.050000000       
HATLASJ121347.9+010812      183.449590000        1.136828000 HATLASJ121347.9+010812      75.226000000           109.248000000            99.781000000       
HATLASJ120833.6-000104      182.140300000       -0.017887000 HATLASJ120833.6-000104      69.727000000            85.211000000            88.591000000       
HATLASJ115520.8-021330      178.836740000       -2.225027000 HATLASJ115520.8-021330      59.782000000            92.261000000            94.202000000       
HATLASJ115014.9-003601      177.562120000       -0.600415000 HATLASJ115014.9-003601      69.078000000            74.788000000            85.647000000       
HATLASJ122407.2-003247      186.030370000       -0.546510000 HATLASJ122407.2-003247      64.075000000            90.202000000            95.638000000       
HATLASJ115836.0-001935      179.650360000       -0.326508000 HATLASJ115836.0-001935      54.768000000            83.244000000            85.169000000       
HATLASJ121812.7+011840      184.552950000        1.311149000 HATLASJ121812.7+011840      56.020000000            95.813000000            98.155000000       
HATLASJ120013.3-003629      180.055670000       -0.608290000 HATLASJ120013.3-003629      53.149000000            73.419000000            81.573000000       
HATLASJ121028.7-021503      182.619760000       -2.250926000 HATLASJ121028.7-021503      59.793000000            84.887000000            83.652000000       
HATLASJ113717.9-010942      174.324950000       -1.161911000 HATLASJ113717.9-010942      56.169000000            86.270000000            84.748000000       
HATLASJ115433.6+005042      178.640040000        0.845091000 HATLASJ115433.6+005042      51.602000000            94.958000000            87.780000000       
HATLASJ122459.0-005647      186.246110000       -0.946467000 HATLASJ122459.0-005647      48.261000000            94.252000000            87.984000000       
HATLASJ142935.3-002836      217.397134000       -0.476872000 HATLASJ142935.3-002836         778.391000000         466.990000000         226.641000000       
