04:50:57.62   -53:16:54.07    
04:50:27.14   -52:41:25.66    
04:49:46.63   -52:54:26.85    
04:41:03.43   -53:12:40.71    
04:36:19.36   -55:24:26.16    
04:33:40.54   -54:03:37.69    
04:41:53.88   -54:03:51.83    
04:38:30.66   -54:18:24.98    
03:27:52.03   -29:09:06.75    
03:32:10.69   -27:05:33.76    
10:01:44.36   +02:57:08.62    
10:00:57.06   +02:20:10.30    
03:33:17.93   -28:09:04.66    
00:38:23.69   -43:37:05.63   
02:20:16.69   -06:01:44.4     
02:22:01.576  -03:33:40.60    
02:25:48.21   -04:17:51.1     
02:18:53.10   -06:33:23.7     
02:30:05.98   -03:41:52.7     
02:18:30.74   -05:31:30.8     
02:22:50.83   -03:24:13.81    
02:19:42.91   -05:24:32.54    
02:19:18.40   -03:10:51.30    
02:29:44.79   -03:41:10.17    
02:18:41.55   -03:50:01.90    
02:20:21.61   -01:53:29.12    
02:20:29.14   -06:48:45.89    
02:22:05.54   -07:07:27.20    
02:21:35.22   -06:26:16.97    
