target sourceid ra_alma dec_alma pbcorr mu870 e_mu870 raw870 e_raw870 reff e_reff q e_q f870 e_f870 remu e_remu
XMM02 Source0   2:22:01.593   -03:33:39.45     0.99    1.63 0.11 8.45 0.38 0.134 0.012 0.32 0.06       8.55  0.38   1.31  0.16
XMM02 Source1   2:22:01.629   -03:33:43.57     0.92    1.10 0.01 3.12 0.41 0.175 0.032 0.73 0.17       3.38  0.44   1.05  0.03
XMM03 Source0   2:25:47.852   -04:17:50.84     0.78    1.80 0.16 14.73 0.35 0.133 0.005 0.74 0.05     18.87  0.45   1.40  0.20
XMM04 Source0   2:18:53.120   -06:33:24.25     1.00    1.00 0.00 5.46 0.30 0.088 0.012 0.82 0.14       5.48  0.30   1.00  0.00
XMM04 Source1   2:18:53.098   -06:33:25.21     0.98    1.00 0.00 1.78 0.37 0.116 0.051 0.70 0.20       1.82  0.38   1.00  0.00
XMM05 Source0   2:30:05.952   -03:41:52.32     1.00    2.15 0.23 7.48 0.37 0.137 0.009 0.52 0.08       7.50  0.37   1.57  0.29
XMM06 Source0   2:18:30.671   -05:31:31.79     0.98    5.33 0.19 62.06 0.57 0.122 0.003 0.64 0.02     63.16  0.58   5.33  0.19
XMM101 Source0  2:22:50.570   -03:24:12.35     0.86    1.00 0.00 8.77 0.24 0.085 0.010 0.52 0.11      10.18  0.28   1.00  0.00
XMM102 Source0  2:19:42.630   -05:24:37.15     0.72    1.00 0.00 5.15 0.32 0.089 0.014 0.63 0.16       7.19  0.45   1.00  0.00
XMM102 Source1  2:19:42.840   -05:24:35.13     0.94    1.00 0.00 3.31 0.39 0.137 0.026 0.84 0.10       3.54  0.42   1.00  0.00
XMM102 Source2  2:19:42.772   -05:24:36.46     0.84    1.00 0.00 2.88 0.22 0.058 0.020 0.80 0.13       3.41  0.26   1.00  0.00
XMM102 Source3  2:19:42.698   -05:24:36.76     0.79    1.00 0.00 1.94 0.37 0.283 0.198 0.67 0.17       2.47  0.47   1.00  0.00
