iauname shortname dataname ra_250 dec_250 n_lens z_lens z_lens_err z_source e_z_source f250 e250 f350 e350 f500 e500 f870 e870 lensgrade bestspire
1HERMES_S250_J003823.6-433707 HELAISS02 ElaisS1 00:38:23.69 -43:37:05.63 0 -99 -99 2.5 0.5 114.0 6.0 101.0 6.0 76.0 6.0 17.26 0.34 C 250
1HERMES_S250_J021830.5-053124 HXMM02    XMM06 02:18:30.74 -05:31:30.8 0 -99 -99 3.39 0.01 91.9 6.7 122.4 7.8 113.1 6.7 62.06 0.57 A 250
1HERMES_S250_J021841.5-035002 HXMM31    XMM110 02:18:41.55 -03:50:01.90 0 -99 -99 2.63 0.5 128.0 6.0 112.0 6.0 73.0 6.0 10.13 0.43 X 250
1HERMES_S250_J021853.1-063325 HXMM29    XMM04 02:18:53.10 -06:33:23.7 0 -99 -99 2.74 0.5 89.0 6.0 83.0 6.0 56.0 6.0 7.25 0.44 C 250
1HERMES_S250_J021918.4-031051 HXMM07    XMM108 02:19:18.40 -03:10:51.30 0 -99 -99 3.46 0.5 90.6 6.7 103.6 7.8 85.8 6.6 29.16 0.58 A 250
1HERMES_S250_J021942.7-052436 HXMM20    XMM102 02:19:42.91 -05:24:32.54 0 -99 -99 3.87 0.5 85.0 6.0 79.0 6.0 67.0 6.0 14.21 0.61 X 250
1HERMES_S250_J022016.5-060143 HXMM01    XMM01 02:20:16.69 -06:01:44.4 0 -99 -99 2.3088 0.0015 180.3 6.7 192.1 7.7 131.6 6.6 28.35 0.44 C 250
1HERMES_S250_J022021.7-015328 HXMM04    XMM115 02:20:21.61 -01:53:29.12 0 -99 -99 3.05 0.5 143.9 6.8 136.6 8.5 93.5 10.8 18.83 0.44 C 250
1HERMES_S250_J022029.2-064845 HXMM09    XMM119 02:20:29.14 -06:48:45.89 0 -99 -99 2.67 0.5 120.3 6.7 114.9 7.8 83.6 6.9 14.81 0.34 C 250
1HERMES_S250_J022135.1-062617 HXMM03    XMM16 02:21:35.22 -06:26:16.97 0 -99 -99 3.66 0.5 120.7 6.7 131.9 8.0 110.1 6.7 22.38 0.36 C 250
1HERMES_S250_J022201.6-033340 HXMM11    XMM02 02:22:01.576 -03:33:40.60 0 -99 -99 2.179 0.001 106.9 6.7 108.0 7.8 81.3 7.2 11.35 0.47 C 250
1HERMES_S250_J022205.4-070728 HXMM23    XMM124 02:22:05.54 -07:07:27.20 0 -99 -99 2.71 0.5 137.0 6.0 108.0 6.0 57.0 6.0 2.75 0.14 X 250
1HERMES_S250_J022250.5-032410 HXMM22    XMM101 02:22:50.83 -03:24:13.81 0 -99 -99 2.55 0.5 97.0 6.0 82.0 6.0 62.0 6.0 8.77 0.24 C 250
