target sourceid offra e_offra offdec e_offdec f870 e_f870 reff e_reff q e_q phi e_phi mu e_mu
HADFS11.1        0.658 0.039  1.569 0.111   5.78  0.24  0.180 0.010   0.25  0.02  167   2   1.26  0.13
HADFS10.0       -1.126 0.005 -0.319 0.004   9.61  0.25  0.073 0.010   0.67  0.15  133  24   1.00  0.00
HADFS10.1        0.876 0.011  0.908 0.009   4.16  0.21  0.048 0.019   0.71  0.19   84  43   1.00  0.00
HADFS10.2       -0.437 0.017 -1.088 0.016   3.58  0.21  0.093 0.020   0.58  0.20  131  38   1.00  0.00
HADFS01.0        0.131 0.005 -0.105 0.006   3.17  0.05  0.128 0.005   0.30  0.01   24   1  10.34  0.47
HADFS09.0        2.343 0.007  3.284 0.005   8.82  0.28  0.109 0.008   0.70  0.11   92  14   1.00  0.00
HADFS09.1       -2.191 0.013 -3.320 0.011   4.86  0.34  0.099 0.019   0.53  0.17  135  24   1.00  0.00
HADFS09.2       -2.503 0.035  0.886 0.019   2.26  0.33  0.122 0.040   0.51  0.17   89  20   1.00  0.00
HADFS08.0       -0.868 0.050  0.938 0.048   3.74  0.17  0.055 0.010   0.83  0.09  131  20   1.65  0.32
HADFS08.1        7.496 0.058  2.190 0.059   7.28  0.39  0.179 0.012   0.59  0.08   63   6   1.10  0.05
HADFS03.0       -0.734 0.069 -1.070 0.053   5.39  0.17  0.112 0.006   0.41  0.05   45   3   1.32  0.16
HADFS03.1        1.415 0.056 -2.912 0.059   1.03  0.07  0.059 0.018   0.54  0.12   94  48   1.86  0.43
HADFS03.2        0.427 0.055 -0.514 0.059   2.21  0.26  0.084 0.020   0.50  0.13  125  14   1.13  0.07
HCOSMOS02.0     -3.507 0.012  4.659 0.013   3.64  0.18  0.073 0.017   0.70  0.12   94  34   1.00  0.00
HCOSMOS02.1      5.780 0.019 -1.434 0.026   3.59  0.31  0.094 0.029   0.76  0.13  106  65   1.00  0.00
HCOSMOS02.2     -4.869 0.049 -3.769 0.050   1.77  0.27  0.198 0.051   0.65  0.13   72  41   1.00  0.00
HCOSMOS02.3      1.410 0.031 -0.035 0.033   1.79  0.22  0.101 0.042   0.71  0.13   74  42   1.00  0.00
HCOSMOS02.4      3.301 0.083 -1.864 0.060   3.01  0.55  0.312 0.060   0.67  0.13   78  32   1.00  0.00
HCOSMOS01.0      0.136 0.011 -0.220 0.016   1.03  0.02  0.068 0.006   0.27  0.04  164   2  14.86  1.90
