GalaxyX GalaxyY GalaxyS850 GalaxyS500 GalaxyS350 GalaxyS250 z SurveyID SourceX SourceY SourceS500 SourceS350 SourceS250 SourceFlag sourceID
-0.0907026 -0.503471 1.82 5.76 9.04 10.96 2.362906 Survey000013 -0.0888889 -0.5022222 50.94 86.64 123.49 1 12
-0.0883516 -0.5017312 5.26 21.84 46.73 75.49 1.241555 Survey000013 -0.0888889 -0.5022222 50.94 86.64 123.49 0 12
-0.0892331 -0.5016612 3.23 13.14 27.44 42.83 1.242419 Survey000013 -0.0888889 -0.5022222 50.94 86.64 123.49 0 12
1.8746384 1.383826 13.18 58.41 134.9 243.59 0.670634 Survey000014 1.8744444 1.3833333 51.04 129.07 240.71 1 13
0.7537941 -0.3331697 12.43 54.43 124.06 220.03 0.576209 Survey000015 0.7533333 -0.3333333 51.1 123.86 223.87 1 14
2.1084802 -0.78127 14.69 53.31 97.64 127.31 1.538137 Survey000016 2.1077778 -0.7811111 51.28 92.26 119.19 1 15
-1.6068279 -0.6200238 12.88 47.85 90.16 121.7 1.197101 Survey000017 -1.6066667 -0.62 51.47 94.27 122.37 1 16
0.2710314 -1.1152128 9.02 38.63 85.66 145.69 1.042673 Survey000018 0.2711111 -1.1155556 51.47 95.65 147.99 1 17
0.9765255 -1.1035084 7.82 45.22 125.56 273.14 0.141754 Survey000019 0.9766667 -1.1033333 51.55 136.08 280.01 1 18
0.4815381 -0.3985543 11.32 56.92 151.86 338.01 0.358354 Survey000020 0.4811111 -0.3988889 51.55 145.7 333.78 1 19
-0.8744351 1.6193352 12.93 47.92 90.03 121.01 1.307632 Survey000021 -0.8744444 1.6188889 51.74 92.25 120.67 1 20
-0.3523199 -2.4918463 9.28 53.56 148.57 323.47 0.125177 Survey000022 -0.3522222 -2.4922222 51.74 147.71 322.28 1 21
-1.983026 -0.5296099 9.1 53.91 153.91 348.33 0.104448 Survey000023 -1.9833333 -0.53 52.06 152.37 348.81 1 22
-0.9499138 1.1185961 2.08 6.62 10.44 12.63 2.310698 Survey000024 -0.9477778 1.1177778 52.07 85.67 103.48 1 23
-0.9477346 1.1182073 13.26 45.81 79.33 99.44 1.747987 Survey000024 -0.9477778 1.1177778 52.07 85.67 103.48 0 23
-0.9819252 -1.8603595 11.26 45.69 95.26 148.46 0.997526 Survey000025 -0.9822222 -1.8611111 52.36 102.81 153.81 1 24
-0.9838936 -1.8592545 2.05 5.46 7.09 6.67 2.386056 Survey000025 -0.9822222 -1.8611111 52.36 102.81 153.81 0 24
0.5211645 -0.3516596 12.32 54.28 124.45 222.53 0.666678 Survey000026 0.5211111 -0.3522222 52.72 126.2 223.24 1 25
1.6047025 -1.6250496 11.98 57.15 143.69 293.44 0.424007 Survey000027 1.6044444 -1.6255556 52.95 140.52 292.32 1 26
-1.3812127 1.4215974 9.45 49.09 136.04 319.99 0.221792 Survey000028 -1.3811111 1.4211111 53.01 136.96 320.34 1 27
-0.6735345 0.8782986 13.18 55.25 119.54 196.3 1.035023 Survey000029 -0.6733333 0.8777778 53.04 114.2 189.75 1 28
-2.187876 1.171286 13.36 44.92 75.53 87.79 1.549733 Survey000030 -2.1877778 1.1711111 53.44 87.07 101.37 1 29
-2.1869702 1.1707952 3.14 9.62 14.49 16.5 2.349504 Survey000030 -2.1877778 1.1711111 53.44 87.07 101.37 0 29
0.745464 -2.0884023 1.58 3.56 4.17 3.05 3.214314 Survey000031 0.7466667 -2.09 53.79 132.1 266.67 1 30
0.746949 -2.0901837 8.34 47.07 127.39 268.06 0.203114 Survey000031 0.7466667 -2.09 53.79 132.1 266.67 0 30
-0.6429844 0.6503241 10.67 59.61 159.42 330.1 0.192233 Survey000032 -0.6433333 0.65 53.79 160.32 341.11 1 31
-2.2898517 -0.5501373 9.2 40.37 92.08 163.14 0.997926 Survey000033 -2.29 -0.55 53.84 102.38 169.52 1 32
-2.1345062 1.2783744 8.6 36.9 82.21 141.22 0.634968 Survey000034 -2.1344444 1.2777778 53.97 106.92 165.86 1 33
-2.1351426 1.2777762 3.43 11.96 20.91 27.46 1.936511 Survey000034 -2.1344444 1.2777778 53.97 106.92 165.86 0 33
0.2564256 0.9986352 9.98 57.09 156.91 337.93 0.106274 Survey000035 0.2566667 0.9988889 54.21 150.73 323.73 1 34
0.8722376 0.2591258 9.01 51.09 139.0 294.94 0.148531 Survey000036 0.8722222 0.2588889 54.8 142.32 297.97 1 35
0.6004934 -1.6148684 14.65 52.11 93.43 117.74 1.274093 Survey000037 0.6 -1.6155556 54.9 99.78 123.43 1 36
0.5984626 -1.6140294 1.79 5.79 9.4 10.64 1.623216 Survey000037 0.6 -1.6155556 54.9 99.78 123.43 0 36
0.253986 2.3072293 11.86 65.68 172.14 339.55 0.031114 Survey000038 0.2533333 2.3066667 54.96 161.4 323.95 1 37
-2.3582022 0.6620865 4.04 10.63 14.5 13.28 3.060253 Survey000039 -2.3588889 0.6644444 55.22 95.79 127.33 1 38
-2.3583319 0.6644958 11.29 43.58 85.78 123.14 1.213456 Survey000039 -2.3588889 0.6644444 55.22 95.79 127.33 0 38
2.2719774 0.0737776 15.01 55.73 104.86 141.2 1.318618 Survey000040 2.2722222 0.0733333 55.26 106.46 139.83 1 39
1.1906953 1.4163197 10.24 38.7 74.28 102.82 1.319011 Survey000041 1.19 1.4155556 55.62 86.05 106.7 1 40
1.9035712 -0.5353687 14.47 52.37 95.73 123.64 1.392083 Survey000042 1.9033333 -0.5355556 55.67 96.52 124.21 1 41
-1.8604362 1.4016131 13.75 57.28 123.16 200.8 0.808869 Survey000043 -1.8611111 1.4011111 56.26 124.29 203.67 1 42
1.1116503 1.8016013 9.4 57.15 167.17 388.29 0.026944 Survey000044 1.1111111 1.8011111 56.4 167.95 388.83 1 43
0.1558203 2.4853961 12.57 42.96 73.61 87.16 1.431857 Survey000045 0.1555556 2.4855556 56.47 89.24 96.83 1 44
1.8013074 0.8746995 13.57 64.03 158.87 318.17 0.540658 Survey000046 1.8011111 0.8744444 56.75 154.01 318.1 1 45
-2.1828086 0.0313832 13.89 60.67 138.31 246.78 0.427409 Survey000047 -2.1833333 0.0311111 57.2 135.55 245.43 1 46
-1.4302479 -0.2396992 12.23 48.72 99.6 151.31 0.920891 Survey000048 -1.43 -0.24 58.17 111.21 157.02 1 47
-1.4295884 -0.2383719 1.96 5.29 7.7 7.39 3.316839 Survey000048 -1.43 -0.24 58.17 111.21 157.02 0 47
-1.4324132 -0.2403976 2.66 5.82 6.67 4.67 3.283377 Survey000048 -1.43 -0.24 58.17 111.21 157.02 0 47
-1.8989125 -0.1543676 13.83 57.23 121.99 196.0 1.05345 Survey000049 -1.8988889 -0.1544444 58.23 124.51 200.51 1 48
-0.6391941 0.6720416 10.2 61.5 178.76 414.44 0.131299 Survey000050 -0.6388889 0.6722222 58.57 174.02 400.29 1 49
0.3500877 -0.0614137 1.15 2.96 3.72 3.25 2.161654 Survey000051 0.35 -0.0611111 58.67 124.32 194.15 1 50
0.3503021 -0.0606914 14.73 59.66 124.13 192.79 1.006963 Survey000051 0.35 -0.0611111 58.67 124.32 194.15 0 50
-0.0462988 -0.7618332 13.06 60.62 147.89 290.16 0.289286 Survey000052 -0.0466667 -0.7622222 60.78 148.38 289.65 1 51
0.4819736 0.2854511 10.78 64.6 186.65 429.77 0.05946 Survey000053 0.4822222 0.2855556 60.79 182.12 420.3 1 52
-1.8527131 0.7392868 13.54 63.82 158.14 316.17 0.36136 Survey000054 -1.8533333 0.7388889 61.33 154.69 308.6 1 53
0.0987838 0.8435171 12.29 53.58 121.26 212.02 0.902774 Survey000055 0.0988889 0.8433333 61.42 132.22 223.63 1 54
0.0976981 0.8427368 3.19 6.42 6.75 4.2 3.312172 Survey000055 0.0988889 0.8433333 61.42 132.22 223.63 0 54
-1.2655334 -1.1105918 14.61 64.44 148.39 268.1 0.448523 Survey000056 -1.2655556 -1.1111111 61.53 142.66 263.49 1 55
-1.3450137 -0.9356978 13.4 61.93 150.02 290.29 0.529409 Survey000057 -1.3455556 -0.9355556 61.77 148.11 284.36 1 56
0.5610653 2.3465877 13.75 66.91 171.99 362.69 0.373031 Survey000058 0.5611111 2.3466667 62.94 168.76 361.74 1 57
-1.4243768 -0.932846 14.06 65.02 157.72 305.75 0.553039 Survey000059 -1.4244444 -0.9333333 63.21 157.38 305.53 1 58
-1.1353555 0.209509 17.11 67.35 135.71 201.57 0.922 Survey000060 -1.1355556 0.2088889 63.44 131.19 195.89 1 59
2.1184897 -0.8181312 11.65 69.62 200.89 462.91 0.066834 Survey000061 2.1177778 -0.8188889 64.33 193.06 444.76 1 60
-0.2651371 -2.2904866 8.01 46.49 129.87 285.85 0.181371 Survey000062 -0.2655556 -2.2911111 65.07 145.63 289.72 1 61
-0.2633233 -2.2901313 2.61 7.13 9.59 9.02 1.996812 Survey000062 -0.2655556 -2.2911111 65.07 145.63 289.72 0 61
-1.169453 -1.1519922 13.98 67.48 171.88 357.75 0.403701 Survey000063 -1.17 -1.1522222 65.37 174.65 363.23 1 62
-1.1713313 -1.1513139 1.57 4.82 6.7 5.66 1.879689 Survey000063 -1.17 -1.1522222 65.37 174.65 363.23 0 62
-0.6244795 -1.1212199 13.84 68.45 179.21 388.05 0.275261 Survey000064 -0.6244444 -1.1211111 65.7 176.04 385.94 1 63
1.3499699 -0.4021007 6.9 38.73 103.94 215.42 0.205962 Survey000065 1.35 -0.4022222 65.97 150.37 262.58 1 64
1.9744492 1.4414707 12.62 62.68 165.02 360.47 0.185255 Survey000066 1.9744444 1.4411111 66.0 167.76 360.98 1 65
0.0394691 -2.4170578 13.29 67.89 184.47 421.7 0.309368 Survey000067 0.0388889 -2.4177778 66.02 180.14 407.26 1 66
-1.7802309 0.9032696 13.77 68.71 181.86 400.58 0.132423 Survey000068 -1.78 0.9033333 66.47 177.18 390.8 1 67
-0.6005829 0.1208862 1.88 4.21 4.99 3.58 3.362103 Survey000069 -0.6 0.1211111 66.91 160.39 329.62 1 68
-0.6001174 0.121114 12.39 60.72 157.2 334.53 0.154654 Survey000069 -0.6 0.1211111 66.91 160.39 329.62 0 68
-1.1859244 -0.4675178 15.52 74.34 187.54 384.46 0.420664 Survey000070 -1.1866667 -0.4677778 67.41 180.33 375.99 1 69
-0.8158897 1.8173267 12.92 63.81 166.8 360.34 0.377705 Survey000071 -0.8166667 1.8166667 68.36 172.48 355.11 1 70
1.735729 1.5654873 12.76 75.22 213.88 483.39 0.071031 Survey000072 1.7355556 1.5655556 68.39 207.61 481.33 1 71
1.065667 -1.7498194 12.3 71.53 198.96 429.72 0.098671 Survey000073 1.0655556 -1.75 68.6 197.12 432.09 1 72
-0.2668259 -0.3750521 18.56 69.23 131.09 178.29 1.222284 Survey000074 -0.2666667 -0.3755556 69.59 132.28 176.34 1 73
-0.2653786 -0.3756348 1.83 4.6 5.8 5.06 2.759686 Survey000074 -0.2666667 -0.3755556 69.59 132.28 176.34 0 73
-1.9018244 -0.0345185 16.06 71.51 166.14 303.04 0.554267 Survey000075 -1.9022222 -0.0344444 70.01 162.8 299.62 1 74
-0.3961926 -1.9032851 11.79 71.67 210.81 498.83 0.094357 Survey000076 -0.3966667 -1.9033333 70.56 206.32 494.61 1 75
-2.103935 -0.9108818 15.12 77.43 210.99 484.23 0.211286 Survey000077 -2.1044444 -0.9111111 71.33 205.24 482.4 1 76
1.1346114 1.6544638 16.56 79.5 201.21 414.7 0.574831 Survey000078 1.1344444 1.6544444 71.54 195.26 412.66 1 77
1.8423694 1.648998 17.86 79.4 184.08 334.66 0.487977 Survey000079 1.8422222 1.6488889 72.49 178.94 333.04 1 78
-0.6572746 1.0443108 3.29 12.13 22.58 30.41 1.596187 Survey000080 -0.6566667 1.0466667 74.03 170.69 320.02 1 79
-0.6561558 1.0471178 13.72 64.13 157.34 310.05 0.532295 Survey000080 -0.6566667 1.0466667 74.03 170.69 320.02 0 79
-1.0596989 -0.4760563 18.18 80.54 185.77 334.52 0.84138 Survey000081 -1.06 -0.4766667 74.64 179.75 327.08 1 80
0.4310206 0.3814359 13.65 81.67 236.89 553.34 0.042628 Survey000082 0.4311111 0.3811111 75.34 232.62 552.67 1 81
-1.3767954 -1.1585311 13.14 80.67 238.73 564.6 0.021751 Survey000083 -1.3766667 -1.1588889 76.98 235.21 554.28 1 82
1.8607196 0.3484791 15.23 77.4 209.1 473.96 0.270035 Survey000084 1.86 0.3477778 78.27 203.38 455.61 1 83
1.0295988 2.2455487 12.44 62.41 166.16 368.63 0.322703 Survey000085 1.0288889 2.2455556 78.76 195.9 406.13 1 84
1.0288904 2.245707 4.45 16.84 32.41 45.63 1.563644 Survey000085 1.0288889 2.2455556 78.76 195.9 406.13 0 84
-0.6372097 -0.6069785 14.28 84.37 238.92 529.84 0.049308 Survey000086 -0.6377778 -0.6066667 79.38 229.97 508.76 1 85
2.326205 -0.6962804 12.62 75.31 217.33 501.77 0.056199 Survey000087 2.3255556 -0.6966667 79.99 220.88 497.21 1 86
-1.0961202 0.7996077 16.49 75.1 178.97 338.1 0.596593 Survey000088 -1.0966667 0.7988889 80.03 184.13 335.27 1 87
1.2429055 -1.1054596 13.66 81.68 235.73 542.07 0.071695 Survey000089 1.2422222 -1.1055556 81.06 229.69 529.38 1 88
1.4782135 0.1283183 13.37 83.2 253.11 635.12 0.025748 Survey000090 1.4777778 0.1277778 82.35 250.88 631.97 1 89
0.9247209 1.1623443 13.87 80.88 227.15 503.83 0.065243 Survey000091 0.9244444 1.1622222 82.44 231.86 512.49 1 90
0.9221197 1.1615068 2.25 6.28 8.55 8.57 2.388572 Survey000091 0.9244444 1.1622222 82.44 231.86 512.49 0 90
-1.9106312 1.2220297 13.67 78.46 216.55 469.29 0.10055 Survey000092 -1.9111111 1.2222222 87.07 217.93 460.04 1 91
-1.568974 0.2305599 15.55 94.85 280.52 670.75 0.062465 Survey000093 -1.5688889 0.23 91.04 278.87 661.61 1 92
1.3642796 -1.6574488 16.32 97.51 281.21 646.49 0.070996 Survey000094 1.3644444 -1.6577778 93.8 276.05 636.85 1 93
0.0002993 -0.5022788 18.23 93.28 253.97 582.31 0.130551 Survey000095 0.0 -0.5022222 95.44 256.75 587.49 1 94
-0.6191324 1.8176615 14.8 92.03 278.11 685.7 0.042371 Survey000096 -0.6188889 1.8177778 96.73 280.95 669.9 1 95
1.6966468 1.5228564 19.83 99.53 265.05 588.04 0.070616 Survey000097 1.6966667 1.5222222 98.28 263.93 581.96 1 96
1.9555258 -1.4630458 21.07 102.35 262.65 552.67 0.254533 Survey000098 1.9555556 -1.4633333 98.51 260.13 552.57 1 97
0.2040094 0.5341646 19.48 96.23 251.74 544.55 0.230353 Survey000099 0.2033333 0.5344444 98.61 252.64 530.22 1 98
0.9868592 0.7787924 21.88 107.53 279.57 599.55 0.244218 Survey000100 0.9866667 0.7788889 100.61 274.29 598.32 1 99
0.3622421 1.884343 18.28 110.85 326.84 782.19 0.038004 Survey000101 0.3622222 1.8844444 105.19 321.53 778.29 1 100
-0.5278603 0.8958076 22.14 108.57 281.66 602.1 0.26408 Survey000102 -0.5277778 0.8955556 106.13 278.82 603.26 1 101
0.9404374 1.2243228 17.48 99.5 270.17 564.89 0.026967 Survey000103 0.94 1.2244444 108.82 273.63 555.41 1 102
0.9384441 1.2263197 1.97 3.42 2.97 1.28 4.909098 Survey000103 0.94 1.2244444 108.82 273.63 555.41 0 102
1.8896413 -0.5427641 19.84 116.04 328.19 739.64 0.056713 Survey000104 1.8888889 -0.5433333 109.32 317.58 712.46 1 103
0.953087 -1.9117115 25.38 120.69 302.65 617.48 0.210914 Survey000105 0.9533333 -1.9122222 114.32 295.03 605.01 1 104
-0.9576414 2.0595748 23.1 115.06 303.71 664.96 0.230236 Survey000106 -0.9577778 2.0588889 119.13 302.44 655.46 1 105
0.4900427 -0.1770295 24.99 123.94 325.72 709.46 0.261361 Survey000107 0.49 -0.1777778 122.28 321.6 695.65 1 106
-1.3252501 -2.1250951 27.49 131.25 330.31 676.04 0.197486 Survey000108 -1.3255556 -2.1255556 126.45 326.1 675.58 1 107
0.2853645 1.7124946 27.75 135.55 350.21 744.49 0.161725 Survey000109 0.2855556 1.7122222 131.4 345.79 735.42 1 108
1.2294298 -0.1126764 26.28 135.61 372.85 866.92 0.205255 Survey000110 1.2288889 -0.1133333 134.3 371.32 857.68 1 109
2.2770596 -0.1214273 23.89 139.73 394.04 880.7 0.092125 Survey000111 2.2766667 -0.1211111 138.05 388.69 863.1 1 110
-1.5601958 -0.1697409 25.98 150.64 420.69 926.96 0.070346 Survey000112 -1.56 -0.17 145.67 413.05 913.02 1 111
0.2759233 0.3873256 30.52 151.77 400.12 875.66 0.185976 Survey000113 0.2755556 0.3866667 148.13 392.28 858.33 1 112
2.0723014 -0.4099287 28.43 166.93 472.42 1059.64 0.07035 Survey000114 2.0722222 -0.41 165.62 473.3 1064.22 1 113
-0.1295668 -0.473633 27.86 168.57 495.87 1183.45 0.029718 Survey000115 -0.13 -0.4733333 165.84 488.25 1161.32 1 114
1.2156869 0.4945571 24.97 155.52 469.15 1146.62 0.066436 Survey000116 1.2155556 0.4944444 166.68 478.43 1161.13 1 115
-0.788945 1.5939357 38.43 190.03 498.26 1084.11 0.06969 Survey000117 -0.7888889 1.5933333 187.92 494.23 1067.47 1 116
-1.2133101 1.3956354 38.26 192.71 515.46 1151.74 0.158142 Survey000118 -1.2133333 1.3955556 195.06 518.18 1153.29 1 117
1.8025744 -1.1337464 37.67 210.59 566.68 1192.18 0.042437 Survey000119 1.8022222 -1.1344444 200.94 554.67 1168.53 1 118
-0.487023 -0.6039836 40.28 252.37 766.15 1887.08 0.060004 Survey000120 -0.4877778 -0.6044444 244.65 754.88 1853.76 1 119
-0.4534573 -1.7255028 58.09 291.01 773.49 1712.18 0.170317 Survey000121 -0.4533333 -1.7255556 283.75 763.72 1683.5 1 120
-2.1890986 0.988438 54.5 323.17 923.77 2097.0 0.030538 Survey000122 -2.1888889 0.9877778 313.47 902.85 2026.96 1 121
1.8010337 0.6982876 89.99 563.37 1709.82 4215.33 0.027468 Survey000123 1.8011111 0.6977778 556.39 1705.27 4212.55 1 122
0.5073839 0.8099128 9.08 41.65 100.1 191.59 0.445522 Survey010001 0.5066667 0.81 50.26 105.56 189.19 1 123
1.1861823 -1.5507606 8.97 55.02 163.12 388.37 0.069549 Survey010002 1.1855556 -1.5511111 50.53 157.88 378.0 1 124
0.6460456 -1.7408172 7.68 36.07 89.03 177.04 0.447929 Survey010003 0.6455556 -1.7411111 50.72 115.52 205.63 1 125
-1.6814942 0.1919903 8.88 51.63 143.65 311.03 0.069025 Survey010004 -1.6822222 0.1922222 50.76 143.1 304.76 1 126
-1.6817423 0.1945404 1.91 3.26 2.92 1.32 4.491509 Survey010004 -1.6822222 0.1922222 50.76 143.1 304.76 0 126
-1.9552604 0.106522 10.17 57.7 157.0 332.54 0.153031 Survey010005 -1.9555556 0.1066667 50.81 150.41 325.28 1 127
-1.274069 1.501368 7.65 23.07 34.22 37.62 2.261708 Survey010006 -1.2744444 1.5011111 51.12 55.67 47.21 1 128
-0.8530656 0.2425266 9.98 45.53 108.72 206.0 0.631323 Survey010007 -0.8533333 0.2422222 51.16 110.89 206.26 1 129
0.0523687 -1.7503271 9.41 31.61 52.95 63.97 1.803531 Survey010008 0.0522222 -1.75 51.19 69.35 70.91 1 130
0.0504556 -1.7496262 2.69 7.35 9.94 9.15 1.803537 Survey010008 0.0522222 -1.75 51.19 69.35 70.91 0 130
-0.1759983 1.6775652 1.98 3.2 2.72 1.15 4.505076 Survey010009 -0.1777778 1.6766667 51.3 95.7 135.71 1 131
-0.1780781 1.6765412 11.78 46.58 94.23 140.48 1.22322 Survey010009 -0.1777778 1.6766667 51.3 95.7 135.71 0 131
-0.1753073 1.6766696 2.88 5.29 5.3 2.8 4.114155 Survey010009 -0.1777778 1.6766667 51.3 95.7 135.71 0 131
2.1955025 -1.2079934 14.05 55.21 110.92 163.91 1.095939 Survey010010 2.1955556 -1.2077778 51.65 105.12 156.9 1 132
1.4106971 0.9159349 3.82 23.66 71.75 179.62 0.040922 Survey010011 1.41 0.9155556 51.76 121.02 236.39 1 133
1.4091761 0.915335 8.27 30.14 55.44 72.17 1.502649 Survey010011 1.41 0.9155556 51.76 121.02 236.39 0 133
-0.001761 -1.7984227 10.83 49.25 117.18 220.96 0.54903 Survey010012 -0.0022222 -1.7988889 52.36 125.47 233.07 1 134
-0.0068075 1.5950779 13.05 47.34 86.81 112.85 1.269814 Survey010013 -0.0066667 1.5944444 52.48 86.39 107.54 1 135
-1.3805064 -1.6254603 12.08 56.01 136.16 264.69 0.685506 Survey010014 -1.3811111 -1.6255556 52.81 134.02 259.38 1 136
0.8343556 1.7858715 11.86 58.86 154.76 337.19 0.338754 Survey010015 0.8344444 1.7855556 53.1 150.29 335.71 1 137
1.2131658 2.1365104 9.62 55.69 154.21 331.69 0.061181 Survey010016 1.2133333 2.1366667 53.2 149.94 319.46 1 138
-2.4837723 -0.2702014 9.93 47.42 119.34 244.18 0.353229 Survey010017 -2.4844444 -0.27 53.27 122.19 237.02 1 139
-1.6870332 -1.2457694 8.01 46.82 131.55 290.87 0.131269 Survey010018 -1.6866667 -1.2455556 54.02 144.98 293.9 1 140
1.1257981 1.6279796 1.82 4.98 6.65 6.49 2.331855 Survey010019 1.1277778 1.6288889 54.05 153.52 357.31 1 141
1.1275753 1.6288148 8.83 52.77 153.57 362.81 0.062406 Survey010019 1.1277778 1.6288889 54.05 153.52 357.31 0 141
-1.2987702 1.5733647 10.53 43.42 92.17 147.23 1.092186 Survey010020 -1.2988889 1.5733333 54.16 102.18 153.17 1 142
-0.2862763 -2.1107795 1.64 4.83 6.45 5.17 2.084296 Survey010021 -0.2855556 -2.1122222 54.38 152.87 323.37 1 143
-0.2857946 -2.1118209 9.67 55.24 151.64 325.89 0.145132 Survey010021 -0.2855556 -2.1122222 54.38 152.87 323.37 0 143
1.6510274 0.9972678 7.71 42.62 112.69 229.49 0.161265 Survey010022 1.6511111 0.9977778 54.74 142.38 285.77 1 144
1.6511068 0.9979079 1.72 9.92 27.54 60.2 0.227326 Survey010022 1.6511111 0.9977778 54.74 142.38 285.77 0 144
0.648733 0.1315503 6.24 25.71 54.63 87.56 0.907257 Survey010023 0.6488889 0.1311111 54.79 102.28 148.03 1 145
0.6487024 0.1302185 5.18 21.22 44.73 70.67 0.907247 Survey010023 0.6488889 0.1311111 54.79 102.28 148.03 0 145
1.7279856 0.6900542 11.18 50.86 121.02 228.03 0.671952 Survey010024 1.7277778 0.69 54.92 123.89 229.44 1 146
0.3133302 -0.0102863 10.12 54.88 140.4 267.55 0.068325 Survey010025 0.3133333 -0.01 55.01 140.35 266.32 1 147
-0.6553621 1.5720345 12.98 58.17 136.18 251.26 0.47498 Survey010026 -0.6555556 1.5722222 55.63 132.36 245.07 1 148
-0.3410491 2.3618538 10.3 62.08 181.29 426.64 0.153856 Survey010027 -0.3411111 2.3611111 55.67 173.52 415.04 1 149
2.4145968 -0.5252445 4.65 14.49 22.28 25.12 2.096144 Survey010028 2.4144444 -0.5244444 56.13 122.98 195.82 1 150
2.414814 -0.5237719 11.84 49.83 108.37 179.41 0.868873 Survey010028 2.4144444 -0.5244444 56.13 122.98 195.82 0 150
-0.6598194 -1.9163432 9.76 58.79 170.86 396.36 0.077011 Survey010029 -0.66 -1.9166667 56.39 168.22 396.96 1 151
-1.3207282 0.7048579 10.78 47.83 110.54 200.01 0.582586 Survey010030 -1.3211111 0.7044444 56.55 126.13 219.37 1 152
-1.3211421 0.7051808 1.92 7.06 13.07 18.09 1.786773 Survey010030 -1.3211111 0.7044444 56.55 126.13 219.37 0 152
-0.7281453 -0.3790388 14.28 63.33 146.32 264.28 0.713133 Survey010031 -0.7288889 -0.3788889 56.58 138.93 251.97 1 153
-0.4272245 2.0299726 3.2 10.1 15.83 17.7 1.862133 Survey010032 -0.4277778 2.0322222 56.66 158.5 338.41 1 154
-0.4271026 2.0329623 9.7 56.26 156.94 344.85 0.163314 Survey010032 -0.4277778 2.0322222 56.66 158.5 338.41 0 154
1.2560916 0.5939689 13.17 58.92 137.54 252.24 0.636452 Survey010033 1.2555556 0.5933333 56.69 133.48 244.83 1 155
-0.0956629 1.4505471 13.23 62.77 156.87 317.89 0.31467 Survey010034 -0.0955556 1.45 56.79 152.71 316.02 1 156
-1.7024102 0.3788623 14.34 57.29 117.31 178.07 1.058707 Survey010035 -1.7022222 0.3788889 57.07 118.06 175.52 1 157
0.0072737 2.2152681 14.11 52.32 98.26 131.85 1.362761 Survey010036 0.0066667 2.2155556 57.29 105.85 136.23 1 158
-0.3277919 1.6949009 12.14 60.01 157.15 340.57 0.264183 Survey010037 -0.3277778 1.6944444 57.66 152.4 336.31 1 159
0.0458097 0.6011951 15.57 60.93 121.91 179.34 1.036533 Survey010038 0.0455556 0.6011111 57.88 119.03 177.45 1 160
0.9944412 0.2984464 11.93 52.24 119.32 213.43 0.388132 Survey010039 0.9944444 0.2977778 58.2 132.15 235.69 1 161
0.9953286 0.2968287 2.14 9.14 20.24 34.44 0.801878 Survey010039 0.9944444 0.2977778 58.2 132.15 235.69 0 161
