Field Source 250/870(16%ile) 250/870(50%ile) 250/870(84%ile)
ADFS_M0 Source0 2.07853493204 2.26216960728 2.40528363658  
ADFS_M0 Source1 0.173551798155 0.536665241452 1.05741399544  
ADFS01 Source0 8.42004487232 9.64033625946 10.8027200617  
ADFS01 Source1 0.280091412903 1.04828785038 2.57659476962  
ADFS01 Source2 32.5857820208 36.9138429569 41.5321451442  
ADFS02 Source0 15.1299433211 15.6261584919 16.1231500758  
ADFS02 Source1 5.45888465368 5.79989146387 6.14562945658  
ADFS03 Source0 7.99103371384 8.41458346235 8.86221791371  
ADFS03 Source1 8.11330304565 8.88864679691 9.59337773497  
ADFS03 Source2 0.177714548728 0.699975160031 1.71214872758  
ADFS04 Source0 9.62247858603 10.8995243187 11.6568964789  
ADFS04 Source1 0.0635547885254 0.269397867733 0.718715638648  
ADFS04 Source2 0.748298403195 2.78065573156 6.5267086684  
ADFS05 Source0 1.82297357123 6.26118773674 10.6357663168  
ADFS05 Source1 2.10632602232 5.93665029087 9.74442027593  
ADFS06 Source0 0.104512750629 0.377488255538 0.980335251338  
ADFS06 Source1 0.167352230651 0.61369845809 1.48965800192  
ADFS06 Source2 19.1830738704 21.8217837455 23.6888159704  
ADFS07 Source0 2.28127829802 2.3501525544 2.41597906961  
CDFS_M0 Source0 0.034402089286 0.132100143967 0.288705560097  
CDFS_M0 Source1 3.96134878023 4.1528813384 4.32309570073  
CDFS_M0 Source2 0.0827568800351 0.31001416101 0.654351528053  
CDFS_M1 Source0 1.70402255371 2.00100651067 2.27799499255  
CDFS_M1 Source1 15.2844052487 16.44371971 17.7135027122  
COS01 Source0 5.45648593698 5.49963199551 5.54624322032  
COS02 Source0 7.86043069667 8.06934854592 8.27171574717  
COS02 Source1 4.28026368313 4.55004605307 4.81646651103  
COS02 Source2 20.5656349342 21.1792166668 21.8353695268  
COS02 Source3 0.0270227800241 0.100308335062 0.282069666746  
COS02 Source4 0.0204941893462 0.0818493291699 0.218848464081  
ECDFS02 Source0 7.3987257109 8.29577360883 8.8273479435  
ECDFS02 Source1 0.42078303288 1.43378107627 3.15720433689  
ElaisS1 Source0 4.07462427308 5.11728100411 6.1320255312  
ElaisS1 Source1 2.26771258922 4.26436032382 6.2037105998  
ElaisS1 Source2 4.10070299815 5.12277829346 6.10366248827  
ElaisS1 Source3 7.54282751363 11.1754739872 14.8658395433  
XMM01 Source0 2.19552665366 2.94021097825 3.76549030246  
XMM01 Source1 0.186063914014 0.789166743459 2.09194641238  
XMM01 Source2 48.772217237 59.7522515422 67.8524255802  
XMM02 Source0 7.05790342408 7.81885569168 8.57472597656  
XMM02 Source1 8.96204297197 10.8309204069 12.7346817289  
XMM03 Source0 5.20894544371 5.33900072041 5.46228906643  
XMM04 Source0 0.093459020626 0.383586232973 1.01783154317  
XMM04 Source1 49.579963138 51.6835998949 53.2631843711  
XMM05 Source0 12.7179595432 13.0065166231 13.2918657777  
XMM06 Source0 1.52017714341 1.55890636831 1.59701862358  
XMM16 Source0 0.668104706543 2.22921156708 4.29754378017  
XMM16 Source1 6.75440176546 13.1380660327 19.229735516  
XMM16 Source2 0.861745135721 2.86774348826 5.40389982895  
XMM101 Source0 13.433225752 13.654521087 13.8845887091  
XMM102 Source0 1.20554906077 2.31342516583 3.35400083864  
XMM102 Source1 0.17743496843 0.717909374931 1.95783681708  
XMM102 Source2 0.213577303444 0.863983890294 2.33555461719  
XMM102 Source3 0.701378711337 2.67749300999 5.96765680774  
XMM102 Source4 49.1395439298 54.4488121322 59.8233878052  
XMM108 Source0 2.88974936219 2.96971226696 3.04684988708  
XMM109 Source0 4.25929152775 4.36578897941 4.47268738369  
XMM110 Source0 3.79008053526 5.08568972514 6.4804967267  
XMM110 Source1 20.4044484645 22.7646534514 24.9758011568  
XMM115 Source0 8.40966365993 8.6086902179 8.80885696402  
XMM119 Source0 5.50735361862 6.74573069834 7.94788270879  
XMM119 Source1 9.68556752516 11.3959736485 13.0721050343  
XMM124 Source0 42.6898060017 43.8468732377 45.0509654687  
